'Name of Package','Price','Duration','Rating','Tour Type','Trek Difficulty',
'Annapurna Circuit Trek',995,'13days',5,'Private Tour  ','Medium',
,,,,,,
'Everest High Passes Trekking',1510,'20days',5,'Private Tour  ','Hard',
,,,,,,
'Dhaulagiri Circuit Trek',3300,'20days','nan','Private Tour  ','Very Hard',
,,,,,,
'Lobuche East Peak Climbing',1750,'12days','nan','Private Tour  ','nan',
,,,,,,
'Makalu Base Camp',1880,'15days','nan','Private Tour  ','Hard',
,,,,,,
'Annapurna In Style',2550,'10days',5,'Group Tour - Max 12 participants  ','nan',
,,,,,,
'Gokyo And Everest Base Camp',1790,'17days',5,'Private Tour  ','Hard',
,,,,,,
'Upper Mustang Trekking',1800,'17days','nan','Private Tour  ','Medium',
,,,,,,
'Everest Base Camp - Chola Pass- Gokyo Trek',1230,'15days','nan','Private Tour  ','Moderate',
,,,,,,
'Makalu Base Camp Trek',2300,'16days',5,'Private Tour  ','Hard',
,,,,,,
'Short Trek In Kathmandu Valley',410,'5days','nan','Private Tour  ','Easy',
,,,,,,
' Kanchenjunga Circuit Trek',2200,'23days','nan','Private Tour  ','Hard',
,,,,,,
'Ghorepani Poonhill Trek',420,'8days','nan','Private Tour  ','Easy',
,,,,,,
'Himalaya Langtang Trek 8D/7N',444,'8days','nan','Private Tour  ','nan',
,,,,,,
'GHT - Nepal - The Full Traverse',26675,'150days','nan','Group Tour - Max 10 participants  ','nan',
,,,,,,
'Journey To Mount Kailash',4369,'20days','nan','Group Tour - Max 16 participants  ','nan',
,,,,,,
'Local Living Nepal',427,'7days','nan','Group Tour - Max 15 participants  ','nan',
,,,,,,
'Everest Three High Passes Trek',1450,'17days','nan','Private Tour  ','Hard',
,,,,,,
'Manaslu Circuit Trek 14 Days',975,'14days',5,'Private Tour  ','Medium',
,,,,,,
'Rara Lake Trek ',1380,'12days','nan','Private Tour  ','Easy',
,,,,,,
'Makalu Base Camp Trekking',1800,'17days','nan','Private Tour  ','nan',
,,,,,,
'Kathmandu To Mumbai Overland',2320,'31days',5,'Group Tour - Max 21 participants  ','nan',
,,,,,,
'Gokyo And Everest Base Camp',1295,'15days',4.5,'Private and Group Tour  ','Hard',
,,,,,,
'Langtang Valley Trek',600,'10days',5,'Private Tour  ','Moderate',
,,,,,,
' Langtang Tamang Heritage Trail Trekking ',495,'8days',5,'Private Tour  ','Moderate',
,,,,,,
'Annapurna Circuit - Private Trip',1090,'14days','nan','Private Tour  ','Medium',
,,,,,,
'Annapurna & Everest In Style',5690,'18days','nan','Group Tour - Max 12 participants  ','nan',
,,,,,,
'Annapurna Foothills Trek 3D/2N',303,'3days','nan','Private Tour  ','nan',
,,,,,,
'Yala Peak Climbing ',1550,'11days','nan','Private Tour  ','nan',
,,,,,,
'Tibetan Highlight: Lhasa Everest Base Camp Tour',1780,'8days',5,'Group Tour - Max 15 participants  ','Easy',
,,,,,,
'Tsum Valley Trek',999,'14days','nan','Private Tour  ','Medium',
,,,,,,
'One-hour Mountain Flight Over Everest',230,'1hours','nan','Group Tour - Max 16 participants  ','nan',
,,,,,,
'Delhi To Kathmandu Adventure',1291,'15days','nan','Group Tour - Max 15 participants  ','nan',
,,,,,,
'Delhi To Kathmandu On A Shoestring',876,'15days','nan','Group Tour - Max 18 participants  ','nan',
,,,,,,
'Upper Dolpo Trek',2750,'20days','nan','Private Tour  ','Hard',
,,,,,,
'Chitwan National Park Adventure 3D/2N',208,'3days','nan','Group Tour - Max 10 participants  ','nan',
,,,,,,
'Everest Base Camp Trek',1255,'14days','nan','Private and Group Tour  ','Easy',
,,,,,,
'Chitwan National Park Adventure 3D/2N (from Kathmandu)',256,'3days','nan','Group Tour - Max 10 participants  ','nan',
,,,,,,
'Everest In Style ',3100,'9days','nan','Group Tour - Max 12 participants  ','Easy',
,,,,,,
'Two Peak Climbing',3092,'20 days','nan','Private and Group Tour  ','nan',
,,,,,,
'Scenic Mount Everest Helicopter Tour',1350,'4hours',4.7,'Private Tour  ','nan',
,,,,,,
'Everest Gokyo Lake 11 Days',950,'11days','nan','Private Tour  ','Medium',
,,,,,,
'Kanchenjunga Trek',2950,'23days','nan','Private Tour  ','Medium',
,,,,,,
'Annapurna Circuit Trek 16D/15N (From Kathmandu)',584,'15days','nan','Private Tour  ','nan',
,,,,,,
'Annapurna Poon Hill Trek 5D/4N',417,'5days','nan','Private Tour  ','nan',
,,,,,,
'Poonhill Trek',550,'7days','nan','Private Tour  ','Easy',
,,,,,,
'Langtang Valley Trek',850,'11days',5,'Private Tour  ','Moderate',
,,,,,,
'Highlights Of India & Nepal',2335,'19days',4,'Group Tour - Max 12 participants  ','nan',
,,,,,,
'Highlights Of Bhutan & Nepal - 15 Days',5505,'15days','nan','Group Tour - Max 16 participants  ','nan',
,,,,,,
'Everest Base Camp Helicopter Tour - 1 Day',1565,'1days',5,'Private Tour  ','nan',
,,,,,,
'Upper Mustang Trek',2450,'15days','nan','Private Tour  ','Moderate',
,,,,,,
'Everest Panorama Trek - Private Trip',875,'8days','nan','Private Tour  ','nan',
,,,,,,
'Everest-at-a-glance Trek',1025,'12days','nan','Private Tour  ','Moderate',
,,,,,,
'Everest Base Camp With Gokyo Valley Trek',1650,'19days',5,'Private Tour  ','Hard',
,,,,,,
'Delhi To Kathmandu',2405,'15days',4.4,'Group Tour - Max 16 participants  ','nan',
,,,,,,
'Nepal Bhutan Tour',2223,'12days','nan','Private Tour  ','nan',
,,,,,,
'Upper Mustang Trekking',1620,'14days','nan','Private and Group Tour  ','Medium',
,,,,,,
'Mera Peak Climb',4105,'21days',5,'Group Tour - Max 12 participants  ','nan',
,,,,,,
'Makalu Base Camp Trekking - Private Trip',2090,'21days','nan','Private Tour  ','nan',
,,,,,,
'Nepal: Himalaya Highlights',1937,'10days','nan','Group Tour - Max 15 participants  ','nan',
,,,,,,
'Everest View Luxury Lodges Trek',4090,'16days','nan','Private Tour  ','Medium',
,,,,,,
'Kathmandu Rim Bike Tour',295,'3days','nan','Private Tour  ','nan',
,,,,,,
'Nagarkot Trek 2 Days 1 Night',130,'2days',5,'Private Tour  ','Easy',
,,,,,,
'Kathmandu Valley Day Tour',60,'6 hours',4.3,'Private Tour  ','nan',
,,,,,,
'Langtang Valley Trek',695,'11days','nan','Private Tour  ','Medium',
,,,,,,
'Trisuli River Rafting Day Trip',65,'1days',4.4,'Private Tour  ','nan',
,,,,,,
'Manaslu Circuit Trek',1250,'19days','nan','Private Tour  ','Medium',
,,,,,,
'Annapurna Base Camp Trek',525,'11days',5,'Private Tour  ','Hard',
,,,,,,
'Annapurna Circuit Trek',1125,'15days','nan','Private Tour  ','Medium',
,,,,,,
'Everest Base Camp - 3 Passes Trek',2050,'19days','nan','Private Tour  ','Hard',
,,,,,,
'Gokyo And Everest Base Camp Trek',1560,'14days',5,'Private Tour  ','Moderate',
,,,,,,
'Annapurna Circuit',1000,'15days','nan','Private Tour  ','Hard',
,,,,,,
'Tamang Heritage & Langtang Valley Trek',1290,'15days','nan','Group Tour - Max 12 participants  ','nan',
,,,,,,
'Everest View Trekking',899,'8days','nan','Private Tour  ','Moderate',
,,,,,,
'Explore Kathmandu City',49,'1days','nan','Private Tour  ','nan',
,,,,,,
'Upper Mustang Trek',1630,'15days',5,'Private Tour  ','Hard',
,,,,,,
'Nagarkot Day Hiking',75,'1days','nan','Private Tour  ','nan',
,,,,,,
'Everest Helicopter Tour',1345,'4hours',4.4,'Private Tour  ','nan',
,,,,,,
'Canyoning ',85,'1days',5,'Group Tour - Max 16 participants  ','nan',
,,,,,,
'Cooking In Kathmandu',66,'4hours',5,'Group Tour - Max 12 participants  ','nan',
,,,,,,
'Annapurna Base Camp Trek',990,'12days','nan','Private Tour  ','Moderate',
,,,,,,
'Api Himal Exploratory',5310,'32days','nan','Group Tour - Max 12 participants  ','nan',
,,,,,,
'Nepal Family Holiday With Teenagers',1840,'11days','nan','Group Tour - Max 16 participants  ','nan',
,,,,,,
'Everest View Trekking',1050,'10days','nan','Private Tour  ','Moderate',
,,,,,,
'Langtang Valley Trek',730,'13days','nan','Private Tour  ','Medium',
,,,,,,
'Upper Mustang Trek',1900,'18days','nan','Private Tour  ','Moderate',
,,,,,,
'Nepal & India Overland',5950,'82days',5,'Group Tour - Max 21 participants  ','nan',
,,,,,,
'Trisuli River Rafting - Kathmandu To Pokhara',57,'1days','nan','Group Tour - Max 24 participants  ','nan',
,,,,,,
'Nepal Tibet Bhutan Tour',3164,'17days',4,'Private Tour  ','nan',
,,,,,,
'Bhutan: Druk Path Trek',5115,'12days',4.6,'Group Tour - Max 16 participants  ','nan',
,,,,,,
'Festivals Of Bhutan',4415,'11days',4.7,'Group Tour - Max 16 participants  ','nan',
,,,,,,
'1 Hour Mountain Flight',240,'1hours',5,'Private Tour  ','nan',
,,,,,,
' Kathmandu By Night',46,'2-3hours',5,'Group Tour - Max 12 participants  ','nan',
,,,,,,
'Everest Circuit & The Cho La',2849,'21days','nan','Group Tour - Max 16 participants  ','nan',
,,,,,,
'Visit The Sleeping Buddha',57,'6-7hours','nan','Group Tour - Max 12 participants  ','nan',
,,,,,,
'Sightseeing Day Tour In Kathmandu',85,'1hours','nan','Private Tour  ','nan',
,,,,,,
'Upper Seti River Rafting - Best Pokhara Day Trip',51,'3hours',5,'Group Tour - Max 24 participants  ','nan',
,,,,,,
'Explore India & Nepal',3419,'17days','nan','Group Tour - Max 16 participants  ','nan',
,,,,,,
'10 Days Sunkoshi River Rafting Tour',565,'10days','nan','Private Tour  ','nan',
,,,,,,
'Honeymoon Tour In Nepal',800,'9days','nan','Private Tour  ','nan',
,,,,,,
'Nepal: Hike  Bike & Raft ',1430,'12days','nan','Group Tour - Max 12 participants  ','nan','nan'
,,,,,,
'Annapurna Base Camp Trek 10D/9N (from Pokhara)',539,'10days','nan','Private Tour  ','nan',
,,,,,,
'Annapurna Base Camp Trek 12D/11N (From Kathmandu)',598,'12days','nan','Private Tour  ','nan',
,,,,,,
'Kathmandu Welcome Package 3D/2N',124,'3days','nan','Group Tour - Max 10 participants  ','nan',
,,,,,,
'Nepal Adventure 8D/7N',592,'8days','nan','Group Tour - Max 10 participants  ','nan',
,,,,,,
'Highway To Himalayas - 16 Days',3586,'16days','nan','Group Tour - Max 24 participants  ','nan',
,,,,,,
'Essence Of Nepal & Bhutan ',7445,'20days','nan','Group Tour - Max 12 participants  ','nan',
,,,,,,
'Nepal & Bhutan Journey',5945,'18days','nan','Group Tour - Max 12 participants  ','nan',
,,,,,,
'Rock & Raft Nepal',85,'2days','nan','Private Tour  ','nan',
,,,,,,
'Annapurna Base Camp Landing By Helicopter',475,'2hours',5,'Private Tour  ','nan',
,,,,,,
'Nagarjun Day Hike',60,'1days','nan','Private Tour  ','Easy',
,,,,,,
'Kathmandu Day Tour',130,'12hours','nan','Private Tour  ','nan',
,,,,,,
'Vintage Nepal',3102,'12days','nan','Group Tour - Max 12 participants  ','nan',
,,,,,,
'Everest Base Camp High Flyer',4369,'14days','nan','Group Tour - Max 10 participants  ','nan',
,,,,,,
'Mera & Island Peak Via Amphu Labsta',4892,'30days','nan','Group Tour - Max 12 participants  ','nan',
,,,,,,
'Ama Dablam Base Camp Trek',2089,'14days','nan','Group Tour - Max 16 participants  ','nan',
,,,,,,
'Trek Annapurna And Everest',2754,'15days','nan','Group Tour - Max 16 participants  ','nan',
,,,,,,
'Day Tour Of Kathmandu Valley',85,'1days','nan','Private Tour  ','nan',
,,,,,,
'Gokyo Lake Trekking',1260,'15days','nan','Private Tour  ','Medium',
,,,,,,
'Everest Base Camp Helicopter Tour',1300,'4hours',5,'Private Tour  ','nan',
,,,,,,
'Nagarjun Hill Day Hike',70,'1days','nan','Private Tour  ','Easy',
,,,,,,
'Classic Nepal',2312,'11days','nan','Group Tour - Max 12 participants  ','nan',
,,,,,,
'1-day Kathmandu Valley Exploration',116,'1days','nan','Group Tour - Max 15 participants  ','nan',
,,,,,,
'Canyoning Day Trip',85,'1days','nan','Private Tour  ','nan',
,,,,,,
'Everest Base Camp Helicopter Tour',1330,'4hours',5,'Private Tour  ','nan',
,,,,,,
'Langtang & Gosainkund Lakes Trek',1994,'17days','nan','Group Tour - Max 16 participants  ','nan',
,,,,,,
'Exploring Patan And Bhaktapur: Kathmandu Valleyâ€™s Other Kingdoms',97,'6-7hours','nan','Group Tour - Max 12 participants  ','nan',
,,,,,,
'Walking Tour Of Kathmandu',25,'6hours','nan','Private Tour  ','nan',
,,,,,,
'Shivapuri Loop Bike Tour ',85,'7hours','nan','Private Tour  ','nan',
,,,,,,
'Everest Base Camp Helicopter Tour',1500,'4hours',5,'Private Tour  ','nan',
,,,,,,
'Mountain Biking Adventures On The Outskirts Of Kathmandu',100,'4-5hours','nan','Group Tour - Max 12 participants  ','nan',
,,,,,,
'Tibet Uncovered',5040,'15days','nan','Group Tour - Max 12 participants  ','nan',
,,,,,,
'Everest Flight',220,'1hours',4.5,'Private Tour  ','nan',
,,,,,,
'Spiritual Journey Of Nepal',58,'4-5hours',4.6,'Group Tour - Max 12 participants  ','nan',
,,,,,,
'Explore Kathmandu Like A Local',66,'5-6hours','nan','Group Tour - Max 12 participants  ','nan',
,,,,,,
'Gokyo Lake ',1280,'11days','nan','Private Tour  ','Medium',
,,,,,,
'Wonders Of Southern Nepal By Bicycle',2636,'11days','nan','Group Tour - Max 16 participants  ','nan',
,,,,,,
'The Druk Path Trek - 12 Days',4090,'12days','nan','Group Tour - Max 16 participants  ','nan',
,,,,,,
'Annapurna',3039,'22days','nan','Group Tour - Max 16 participants  ','nan',
,,,,,,
'Everest High Passes',3097,'22days','nan','Group Tour - Max 16 participants  ','nan',
,,,,,,
'GHT Everest & Rolwaling Traverse Via Tashi Labsta Pass',4179,'28days','nan','Group Tour - Max 12 participants  ','nan',
,,,,,,
'Lobuche East & Pokalde Peak',5025,'28days','nan','Group Tour - Max 12 participants  ','nan',
,,,,,,
'Kangchenjunga Base Camp',4208,'25days','nan','Group Tour - Max 16 participants  ','nan',
,,,,,,
'The Kingdom Of Mustang',3609,'16days','nan','Group Tour - Max 16 participants  ','nan',
,,,,,,
'Manaslu Circuit & Base Camp Trek',2754,'20days','nan','Group Tour - Max 16 participants  ','nan',
,,,,,,
'Gokyo & The Renjo La',2469,'17days','nan','Group Tour - Max 16 participants  ','nan',
,,,,,,
'Tamang Heritage Trail',1709,'12days','nan','Group Tour - Max 16 participants  ','nan',
,,,,,,
'Mountain Bike Kathmandu To Pokhara',2137,'11days','nan','Group Tour - Max 16 participants  ','nan',
,,,,,,
'Gokyo Trek',1115,'11days','nan','Private Tour  ','Moderate',
,,,,,,
'India & Nepal Heritage ',6185,'23days','nan','Group Tour - Max 12 participants  ','nan',
,,,,,,
'In Focus: Tailor-made In Kathmandu  Sarangi Experience ',66,'4hours','nan','Group Tour - Max 12 participants  ','nan',
,,,,,,
'Make Your Own Souvenir ',66,'4hours','nan','Group Tour - Max 12 participants  ','nan',
,,,,,,
'Cycling In Bhutan',6745,'14days',5,'Group Tour - Max 15 participants  ','nan',
,,,,,,
'Durbar Square & Monkey Temple',104,'1day','nan','Group Tour - Max 10 participants  ','nan',
,,,,,,
'East Himalayan Kingdoms',3852,'13days','nan','Group Tour - Max 16 participants  ','nan',
,,,,,,
'Everest Kangshung Face',4749,'24days','nan','Group Tour - Max 16 participants  ','nan',
,,,,,,
'Langtang Valley View Trekking',450,'7days',4.9,'Private and Group Tour  ','Moderate',
,,,,,,
'India & Nepal',4680,'19days','nan','Group Tour - Max 12 participants  ','nan',
,,,,,,
'Kathmandu To Delhi Overland',1880,'24days','nan','Group Tour - Max 22 participants  ','nan',
,,,,,,
'Sikkim Bhutan Trek',4797,'20days','nan','Group Tour - Max 16 participants  ','nan',
,,,,,,
'Summit To Sea',4369,'29days','nan','Group Tour - Max 12 participants  ','nan',
,,,,,,
'Nepali Meal With Local Family',29,'1day','nan','Group Tour - Max 10 participants  ','nan',
,,,,,,
'Everest Base Camp & Kala Pattar',2374,'17days','nan','Group Tour - Max 16 participants  ','nan',
,,,,,,
'Annapurna Base Camp Trek',1090,'11days','nan','Private Tour  ','Moderate',
,,,,,,
'Trekking Langtang',987,'15days','nan','Group Tour - Max 16 participants  ','nan',
,,,,,,
'Upper Mustang Trek',1990,'14days','nan','Private Tour  ','Medium',
,,,,,,
'Kathmandu To Delhi Adventure',1291,'15days','nan','Group Tour - Max 15 participants  ','nan',
,,,,,,
'Langtang & Gosainkund Lakes',1855,'15days','nan','Group Tour - Max 16 participants  ','nan',
,,,,,,
'Everest Base Camp Trek 13D/12N',1187,'13days','nan','Private Tour  ','nan',
,,,,,,
'Jomsom Trek 12D/11N (from Kathmandu)',759,'12days','nan','Private Tour  ','nan',
,,,,,,
'Nepal Rafting Adventure (from Kathmandu)',67,'1day','nan','Group Tour - Max 10 participants  ','nan',
,,,,,,
'Poon Hill Trek 3D/2N',301,'3days','nan','Private Tour  ','nan',
,,,,,,
'Poon Hill Trek 5D/4N (from Kathmandu)',436,'5days','nan','Private Tour  ','nan',
,,,,,,
'Everest & Gokyo Lakes - 18 Days',2655,'18days','nan','Group Tour - Max 15 participants  ','nan',
,,,,,,
'Everest Base Camp - 15 Days',2370,'15days','nan','Group Tour - Max 15 participants  ','nan',
,,,,,,
'Everest Base Camp - 15 Days',2370,'15days','nan','Group Tour - Max 15 participants  ','nan',
,,,,,,
'Annapurna Sanctuary Trek - 14 Days',2275,'14days','nan','Group Tour - Max 14 participants  ','nan',
,,,,,,
'Cholo Expedition',4398,'21days','nan','Group Tour - Max 12 participants  ','nan',
,,,,,,
'Annapurna Chitwan',1804,'12days','nan','Group Tour - Max 16 participants  ','Easy',
,,,,,,
'Annapurna Machapuchare',1804,'13days','nan','Group Tour - Max 16 participants  ','nan',
,,,,,,
'Tharpu Chuli (Tent Peak) Expedition',3819,'18days','nan','Group Tour - Max 16 participants  ','nan',
,,,,,,
'Annapurna Mountain Bike',2641,'16days','nan','Group Tour - Max 16 participants  ','nan',
,,,,,,
'Annapurna Circuit',2279,'17days','nan','Group Tour - Max 16 participants  ','nan',
,,,,,,
'Ultimate Annapurna Dhaulagiri',2270,'16days','nan','Group Tour - Max 16 participants  ','nan',
,,,,,,
'Annapurna Trek',1614,'10days','nan','Group Tour - Max 16 participants  ','Easy',
,,,,,,
'Complete Annapurna',2469,'18days','nan','Group Tour - Max 16 participants  ','nan',
,,,,,,
'Damodar Saribung Traverse',4084,'23days','nan','Group Tour - Max 16 participants  ','nan',
,,,,,,
'Everest Base Camp & Island Peak',4303,'22days','nan','Group Tour - Max 12 participants  ','nan',
,,,,,,
'Everest Family Trek',2251,'15days','nan','Group Tour - Max 16 participants  ','nan',
,,,,,,
'Everest Trek',1899,'12days','nan','Group Tour - Max 16 participants  ','nan',
,,,,,,
'Around Dhaulagiri Via French Pass',3039,'18days','nan','Group Tour - Max 16 participants  ','nan',
,,,,,,
'GHT Kanchenjunga Exploratory',4749,'25days','nan','Group Tour - Max 16 participants  ','nan',
,,,,,,
'GHT Langtang Via Tilman Pass',2849,'18days','nan','Group Tour - Max 12 participants  ','nan',
,,,,,,
'GHT Manaslu & Annapurna',4179,'26days','nan','Group Tour - Max 16 participants  ','nan',
,,,,,,
'GHT Makalu & Everest Traverse Via Sherpani Col',5699,'34days','nan','Group Tour - Max 12 participants  ','nan',
,,,,,,
'GHT Rara Lake & Yari Valley',5319,'26days','nan','Group Tour - Max 16 participants  ','nan',
,,,,,,
'GHT Upper Dolpo Traverse',5699,'25days','nan','Group Tour - Max 16 participants  ','nan',
,,,,,,
'Classic Poon Hill Trek',1709,'12days','nan','Group Tour - Max 16 participants  ','nan',
,,,,,,
'Nepal Family Adventure',1709,'12days','nan','Group Tour - Max 16 participants  ','nan',
,,,,,,
'Nepal - Raft And Hike',2089,'15days','nan','Group Tour - Max 16 participants  ','nan',
,,,,,,
'4x4 Tibet Overland Adventure 8D/7N',1424,'8days','nan','Group Tour - Max 10 participants  ','nan',
,,,,,,
'Real Kathmandu To Delhi',1100,'13days','nan','Group Tour - Max 16 participants  ','nan',
,,,,,,
'Epic Nepal To India',1680,'20days','nan','Group Tour - Max 16 participants  ','nan',
,,,,,,
'Real Everest Base Camp',1283,'15days','nan','Group Tour - Max 16 participants  ','nan',
,,,,,,
'One Week In Nepal',630,'8days','nan','Group Tour - Max 16 participants  ','nan',
,,,,,,
'Abode Of The God-Kings',3239,'15days','nan','Group Tour - Max 17 participants  ','nan',
,,,,,,
'Classic Nepal',1612,'15days','nan','Group Tour - Max 14 participants  ','nan',
,,,,,,
'Nepal Exposed',1139,'10days','nan','Group Tour - Max 14 participants  ','nan',
,,,,,,
'Everest Base Camp',1481,'16days','nan','Group Tour - Max 12 participants  ','nan',
,,,,,,
'Delhi To Kathmandu',3201,'16days','nan','Group Tour - Max 12 participants  ','nan',
,,,,,,
'Nepal On A Shoestring',734,'8days','nan','Group Tour - Max 18 participants  ','nan',
,,,,,,
'Nepal Family Adventure',2279,'14days','nan','Group Tour - Max 18 participants  ','nan',
,,,,,,
'Nepal Discovery',1206,'8days','nan','Group Tour - Max 18 participants  ','nan',
,,,,,,
'Himalayan Kingdoms',2788,'12days','nan','Group Tour - Max 10 participants  ','nan',
,,,,,,
'Lumding Valley & Teng Kangpoche Peak With Soren Kruse Ledet',7979,'30days','nan','Group Tour - Max 12 participants  ','nan',
,,,,,,
'Chitwan Independent Adventure And Homestay',693,'4days','nan','Independent Tour  ','nan',
,,,,,,
'Wellness Nepal',3134,'13days','nan','Group Tour - Max 15 participants  ','nan',
,,,,,,
'Annapurna Circuit',2232,'21days','nan','Group Tour - Max 17 participants  ','nan',
,,,,,,
'Cinque Terre Walking Holiday',513,'5days','nan','Independent Tour  ','nan',
,,,,,,
'Kathmandu Valley Trek Independent Adventure',902,'5days','nan','Independent Tour  ','nan',
,,,,,,
'Nepal Adventure',1625,'4days','nan','Group Tour - Max 12 participants  ','nan',
,,,,,,
'Magnificent Nepal And Bhutan',6525,'10days','nan','Group Tour - Max 12 participants  ','nan',
,,,,,,
'Magnificent Nepal And Bhutan',6525,'10days','nan','Group Tour - Max 12 participants  ','nan',
,,,,,,
'Indias Golden Triangle With Varanasi And Nepal',4195,'11days','nan','Group Tour - Max 12 participants  ','nan',
,,,,,,
'Annapurna Sanctuary',1586,'15days','nan','Group Tour - Max 17 participants  ','nan',
,,,,,,
'Inside The Hidden Kingdoms',4389,'21days','nan','Group Tour - Max 17 participants  ','nan',
,,,,,,
'Festivals Of Bhutan',4056,'12days','nan','Group Tour - Max 17 participants  ','nan',
,,,,,,
'Delhi To Kathmandu',2546,'17days','nan','Group Tour - Max 17 participants  ','nan',
,,,,,,
'Discover Nepal',1814,'15days','nan','Group Tour - Max 17 participants  ','nan',
,,,,,,
'Everest Base Camp & Kala Pattar Over 55''s',2849,'21days','nan','Group Tour - Max 16 participants  ','nan',
,,,,,,
'Tamur Rafting And Trek Expedition',1200,'11hours','nan','Group Tour - Max 24 participants  ','nan',
,,,,,,
'Annapurna Panorama',1624,'13days','nan','Group Tour - Max 17 participants  ','nan',
,,,,,,
'Everest Base Camp Trek',1033,'12days',4.9,'Private and Group Tour  ','Medium',
,,,,,,
'Everest Base Camp Trek',1045,'12days',4.8,'Private and Group Tour  ','Medium',
,,,,,,
'Annapurna Base Camp Trek',630,'12days',4.8,'Private and Group Tour  ','Moderate',
,,,,,,
'Everest Base Camp & Kala Patthar Trek ',1110,'12days',4.9,'Private and Group Tour  ','Medium',
,,,,,,
'Annapurna Circuit Trek',910,'15days',4.8,'Private and Group Tour  ','Medium',
,,,,,,
'Ghorepani Poon Hill Sunrise Trek',350,'7days',4.7,'Private and Group Tour  ','Easy',
,,,,,,
'Everest Base Camp Trek',1290,'15days',5,'Private and Group Tour  ','Hard',
,,,,,,
'Chitwan Jungle Safari',220,'4days',4,'Private Tour  ','nan',
,,,,,,
'Everest Base Camp',1500,'15days',5,'Group Tour - Max 16 participants  ','Easy',
,,,,,,
'Annapurna Circuit Trek',610,'14days',5,'Private Tour  ','Hard',
,,,,,,
'16 Days Manaslu Circuit Trekking',878,'16days',4.9,'Private Tour  ','Hard',
,,,,,,
'Poonhill Trek',420,'7days',4.8,'Private Tour  ','Moderate',
,,,,,,
'Manaslu Circuit Trek',900,'17days',4.8,'Private Tour  ','Medium',
,,,,,,
'Everest Base Camp - Chola Pass- Gokyo Trek',1300,'15days',4.9,'Private and Group Tour  ','Hard',
,,,,,,
'Everest Base Camp - 3 Passes Trek',1335,'17days',4.7,'Private Tour  ','Hard',
,,,,,,
'Ghorepani Poon Hill Trek 5 Days',355,'5days',4.7,'Private and Group Tour  ','Easy',
,,,,,,
'20 Days EBC 3 High Passes Trek',1336,'20days',4.9,'Private Tour  ','Hard',
,,,,,,
'14 Days Everest Base Camp Trek',1065,'14days',4.9,'Private Tour  ','Hard',
,,,,,,
'Short Everest Base Camp Trek',1070,'10days',5,'Private Tour  ','Hard',
,,,,,,
'Manaslu Around Trek',1130,'19days',4.9,'Private and Group Tour  ','Hard',
,,,,,,
'Langtang Valley Trek ',500,'8days',4.9,'Private and Group Tour  ','Medium',
,,,,,,
'Everest Base Camp Trek ',1295,'14days',5,'Private Tour  ','Easy',
,,,,,,
'Gokyo Everest Base Camp Trek',1174,'15days',5,'Private Tour  ','Medium',
,,,,,,
'15 Day Annapurna Circuit Trek With Tilicho Lake',850,'15days',4.8,'Private and Group Tour  ','Medium',

